responsable,sitio,suelo,capacidad_de_uso,profundidad_de_tosca_m,presencia_de_napa,antecesor,hibrido,densidad_de_siembra,fecha_de_siembra,espaciamiento_m,fecha_de_cosecha,urea_presiembra,urea_a_la_siembra,map_siembra,dap_siembra_kg,uan_28_0_0_5_2_siembra_l,uan_28_0_0_5_2_post_siembra,uan_32_post_siembra,urea_post_siembra,nombre_tratamiento,repeticion,plantas_ha,rendimiento,humedad_a_cosecha_percent,plantas_volcadas_ha,total_mats_extranas,mat_grasa_mtra_limpia_sss,acidez_mat_grasa,phomopsis_tallo_incidencia,phomopsis_tallo_severidad,phomopsis_capitulo_percent_insidencia,phomopsis_capitulo_severidad,phoma,alternaria,septoria,roya_negra,pp_agosto,pp_septiembre,pp_octubre,pp_noviembre,pp_diciembre,pp_enero,pp_febrero,pp_marzo,pp_abril,rinde_11,rinde_bonificado
Federico Comisso,GUAMINI,Hapludol típico,IIs,0.8,NO,Maíz,RAGT Cabildo CL,35000,2022-11-01T00:00:00Z,0.525,2023-03-17T00:00:00Z,0,0,0,40,0,0,0,0,SIN_FUNGICIDA,1,31000,2049,9,0,2.2,51.1,0.6,0,0,8,media,0,no,0,0,4,16,119,71,0,166,58,45,SD,2095.04494382022,2476.34312359551
Federico Comisso,GUAMINI,Hapludol típico,IIs,0.8,NO,Maíz,RAGT Cabildo CL,35000,2022-11-01T00:00:00Z,0.525,2023-03-17T00:00:00Z,0,0,0,40,0,0,0,0,CON_FUNGICIDA,1,29000,1976,9,0,3.2,49.8,0.8,0,0,16,baja,0,no,0,0,4,16,119,71,0,166,58,45,SD,2020.40449438202,2335.58759550562
Federico Comisso,GUAMINI,Hapludol típico,IIs,0.8,NO,Maíz,RAGT Cabildo CL,35000,2022-11-01T00:00:00Z,0.525,2023-03-17T00:00:00Z,0,0,0,40,0,0,0,0,SIN_FUNGICIDA,2,28000,2146,9,0,2.2,51.1,0.6,0,0,6,baja,0,no,0,0,4,16,119,71,0,166,58,45,SD,2194.22471910112,2593.57361797753
Federico Comisso,GUAMINI,Hapludol típico,IIs,0.8,NO,Maíz,RAGT Cabildo CL,35000,2022-11-01T00:00:00Z,0.525,2023-03-17T00:00:00Z,0,0,0,40,0,0,0,0,CON_FUNGICIDA,2,28000,2293,9,0,3.2,49.8,0.8,0,0,6,baja,0,no,0,0,4,16,119,71,0,166,58,45,SD,2344.52808988764,2710.27447191011
Julian Valdez,NECOCHEA,USUARIO: ej: Haplustol típico Argiudol típico,USUARIO: Ej: IIs IIs,1.5,NO,Maíz,INSUN 211 CL,54000,2023-11-01T00:00:00Z,0.525,2023-03-22T00:00:00Z,0,0,0,40,0,0,125,0,SIN_FUNGICIDA,1,53990,3112,8,0,1.3,52.1,0.5,10,baja,39,baja,2.5,media,0,0,38,1,30,69,32,44,153,159,0,3216.89887640449,3866.7124494382
Julian Valdez,NECOCHEA,USUARIO: ej: Haplustol típico Argiudol típico,USUARIO: Ej: IIs IIs,1.5,NO,Maíz,INSUN 211 CL,54000,2023-11-01T00:00:00Z,0.525,2023-03-22T00:00:00Z,0,0,0,40,0,0,125,0,CON_FUNGICIDA,1,53807,3179,8,0,2.8,51,0.5,16,media,20,media,1,baja,0,0,38,1,30,69,32,44,153,159,0,3286.15730337079,3877.66561797753
Julian Valdez,NECOCHEA,USUARIO: ej: Haplustol típico Argiudol típico,USUARIO: Ej: IIs IIs,1.5,NO,Maíz,INSUN 211 CL,54000,2023-11-01T00:00:00Z,0.525,2023-03-22T00:00:00Z,0,0,0,40,0,0,125,0,SIN_FUNGICIDA,2,54298,3017,8,0,1.3,52.1,0.5,2,baja,44,Baja,1.5,media,0,0,38,1,30,69,32,44,153,159,0,3118.69662921348,3748.67334831461
Julian Valdez,NECOCHEA,USUARIO: ej: Haplustol típico Argiudol típico,USUARIO: Ej: IIs IIs,1.5,NO,Maíz,INSUN 211 CL,54000,2023-11-01T00:00:00Z,0.525,2023-03-22T00:00:00Z,0,0,0,40,0,0,125,0,CON_FUNGICIDA,2,54113,3003,9,0,2.8,51,0.5,10,media,37,media,1.5,baja,0,0,38,1,30,69,32,44,153,159,0,3070.48314606742,3623.17011235955
Emanuel Vilela,MADARIAGA,USUARIO: ej: Haplustol típico Hapludol thapto árgico,USUARIO: Ej: IIs III/IV,1.5,SI,Maiz,Syn3990 CL,40000,2022-11-08T00:00:00Z,0.52,2023-03-22T00:00:00Z,100,0,100,0,0,0,0,0,SIN_FUNGICIDA,1,49000,3769,9.7,0,2.6,54.6,0.5,0,0,0,0,0,media,0,0,53.5,3,58,48,126,68,92,0,0,3824.05280898876,4787.71411685393
Emanuel Vilela,MADARIAGA,USUARIO: ej: Haplustol típico Hapludol thapto árgico,USUARIO: Ej: IIs III/IV,1.5,SI,Maiz,Syn3990 CL,40000,2022-11-08T00:00:00Z,0.52,2023-03-22T00:00:00Z,100,0,100,0,0,0,0,0,CON_FUNGICIDA,1,47000,3529,8.1,0,2.2,55.6,0.5,0,0,0,0,0,baja,0,0,53.5,3,58,48,126,68,92,0,0,3643.98988764045,4635.15513707865
Emanuel Vilela,MADARIAGA,USUARIO: ej: Haplustol típico Hapludol thapto árgico,USUARIO: Ej: IIs III/IV,1.5,SI,Maiz,Syn3990 CL,40000,2022-11-08T00:00:00Z,0.52,2023-03-22T00:00:00Z,100,0,100,0,0,0,0,0,SIN_FUNGICIDA,2,48000,3929,9.1,0,2.6,54.6,0.5,0,0,0,0,0,media,0,0,53.5,3,58,48,126,68,92,0,0,4012.87752808989,5024.12266516854
Emanuel Vilela,MADARIAGA,USUARIO: ej: Haplustol típico Hapludol thapto árgico,USUARIO: Ej: IIs III/IV,1.5,SI,Maiz,Syn3990 CL,40000,2022-11-08T00:00:00Z,0.52,2023-03-22T00:00:00Z,100,0,100,0,0,0,0,0,CON_FUNGICIDA,2,49000,3873,8.7,0,2.2,55.6,0.5,0,0,0,0,0,baja,0,0,53.5,3,58,48,126,68,92,0,0,3973.08876404494,5053.76890786517
Juan Peralta Martínez,TRENQUE_LAUQUEN,USUARIO: ej: Haplustol típico Hapludol éntico,USUARIO: Ej: IIs IIIS,s/ presencia de tosca,NO,Maíz,P106CL,47000,2022-10-18T00:00:00Z,0.52,2023-03-10T00:00:00Z,0,80,0,0,0,0,0,0,CON_FUNGICIDA,1,39000,2448,12.8,0,2.3,54.6,0.6,0,0,0,0,0,no,0,0,5,32,34,108,7,148,42,4,0,2398.48988764045,3002.90933932584
Juan Peralta Martínez,TRENQUE_LAUQUEN,USUARIO: ej: Haplustol típico Hapludol éntico,USUARIO: Ej: IIs IIIS,s/ presencia de tosca,NO,Maíz,P106CL,47000,2022-10-18T00:00:00Z,0.52,2023-03-10T00:00:00Z,0,80,0,0,0,0,0,0,SIN_FUNGICIDA,1,38000,2560,9.9,0,2.9,55.4,0.7,0,0,0,0,0,no,0,0,5,32,34,108,7,148,42,4,0,2591.6404494382,3286.20008988764
Juan Peralta Martínez,TRENQUE_LAUQUEN,USUARIO: ej: Haplustol típico Hapludol éntico,USUARIO: Ej: IIs IIIS,s/ presencia de tosca,NO,Maíz,P106CL,47000,2022-10-18T00:00:00Z,0.52,2023-03-10T00:00:00Z,0,80,0,0,0,0,0,0,CON_FUNGICIDA,2,38500,2544,11.7,0,2.3,54.6,0.6,0,0,0,0,0,no,0,0,5,32,34,108,7,148,42,4,0,2523.99101123596,3160.03674606742
Juan Peralta Martínez,TRENQUE_LAUQUEN,USUARIO: ej: Haplustol típico Hapludol éntico,USUARIO: Ej: IIs IIIS,s/ presencia de tosca,NO,Maíz,P106CL,47000,2022-10-18T00:00:00Z,0.52,2023-03-10T00:00:00Z,0,80,0,0,0,0,0,0,SIN_FUNGICIDA,2,40000,2384,10.7,0,2.9,55.4,0.7,0,0,0,0,2,no,0,0,5,32,34,108,7,148,42,4,0,2392.03595505618,3033.10159101124
Segundo Paez,TANDIL,USUARIO: ej: Haplustol típico SD,USUARIO: Ej: IIs SD,s/ presencia de tosca,NO,cebada/sj 2da,P106 CLHO,51000,2023-11-28T00:00:00Z,0.52,SD,0,0,60,0,0,0,0,0,SIN_FUNGICIDA,1,45000,1690,9.6,0,1.7,46.3,0.6,22,baja,0,0,2,0,0,0,40,10,105,70,85,80,80,0,0,1716.58426966292,1864.21051685393
Segundo Paez,TANDIL,USUARIO: ej: Haplustol típico SD,USUARIO: Ej: IIs SD,s/ presencia de tosca,NO,cebada/sj 2da,P106 CLHO,51000,2023-11-28T00:00:00Z,0.52,SD,0,0,60,0,0,0,0,0,CON_FUNGICIDA,1,44500,1590,9.5,0,1.8,45.4,0.6,9,baja,0,0,1,0,0,0,40,10,105,70,85,80,80,0,0,1616.79775280899,1726.74
Segundo Paez,TANDIL,USUARIO: ej: Haplustol típico SD,USUARIO: Ej: IIs SD,s/ presencia de tosca,NO,cebada/sj 2da,P106 CLHO,51000,2023-11-28T00:00:00Z,0.52,SD,0,0,60,0,0,0,0,0,SIN_FUNGICIDA,2,44800,1770,9.4,0,1.7,46.3,0.6,13,baja,0,0,2,0,0,0,40,10,105,70,85,80,80,0,0,1801.8202247191,1956.77676404494
Segundo Paez,TANDIL,USUARIO: ej: Haplustol típico SD,USUARIO: Ej: IIs SD,s/ presencia de tosca,NO,cebada/sj 2da,P106 CLHO,51000,2023-11-28T00:00:00Z,0.52,SD,0,0,60,0,0,0,0,0,CON_FUNGICIDA,2,46000,1800,9.5,0,1.8,45.4,0.6,7,baja,0,0,1,0,0,0,40,10,105,70,85,80,80,0,0,1830.33707865169,1954.8
Hugo Gonzalez,MDP,USUARIO: ej: Haplustol típico ARGIUDOL TIPICO,USUARIO: Ej: IIs I,s/ presencia de tosca,NO,CEBADA,SYN3970CL,58000,2022-10-05T00:00:00Z,0.52,2023-02-27T00:00:00Z,90,0,50,0,0,0,0,0,SIN_FUNGICIDA,1,59000,2700,8.7,0,9.5,53.1,0.5,0,0,10,baja,1,baja,0,0,0,0,43,164,61,35,142,0,0,2769.77528089888,3384.66539325843
Hugo Gonzalez,MDP,USUARIO: ej: Haplustol típico ARGIUDOL TIPICO,USUARIO: Ej: IIs I,s/ presencia de tosca,NO,CEBADA,SYN3970CL,58000,2022-10-05T00:00:00Z,0.52,2023-02-27T00:00:00Z,90,0,50,0,0,0,0,0,CON_FUNGICIDA,1,60000,3100,8.9,0,10.9,53.8,1.7,0,0,50,baja,1,baja,0,0,0,0,43,164,61,35,142,0,0,3173.14606741573,3922.00853932584
Hugo Gonzalez,MDP,USUARIO: ej: Haplustol típico ARGIUDOL TIPICO,USUARIO: Ej: IIs I,s/ presencia de tosca,NO,CEBADA,SYN3970CL,58000,2022-10-05T00:00:00Z,0.52,2023-02-27T00:00:00Z,90,0,50,0,0,0,0,0,SIN_FUNGICIDA,2,60000,2675,10.1,0,9.5,53.1,0.5,0,0,30,baja,1,baja,0,0,0,0,43,164,61,35,142,0,0,2702.05056179775,3301.90578651685
Hugo Gonzalez,MDP,USUARIO: ej: Haplustol típico ARGIUDOL TIPICO,USUARIO: Ej: IIs I,s/ presencia de tosca,NO,CEBADA,SYN3970CL,58000,2022-10-05T00:00:00Z,0.52,2023-02-27T00:00:00Z,90,0,50,0,0,0,0,0,CON_FUNGICIDA,2,61000,2980,10.1,0,10.9,53.8,1.7,0,0,30,baja,1,baja,0,0,0,0,43,164,61,35,142,0,0,3010.13483146067,3720.52665168539
Ernesto Jauregui,RIVERA,SD,IV,s/ presencia de tosca,"SI, LLEGO A SER SUPERFICIAL",TRIGO-MAIZ DE SEGUNDA,P106 CLHO,SD,2022-11-01T00:00:00Z,0.52,SD,0,100,45,0,0,0,0,0,SIN_FUNGICIDA,1,37000,3405,7.8,0,SD,53.4,SD,0.5,alta,12,media,1,SD,SD,SD,0,50,48,109,15,158,25,85,0,3527.42696629214,4331.68031460674
Ernesto Jauregui,RIVERA,SD,IV,s/ presencia de tosca,"SI, LLEGO A SER SUPERFICIAL",TRIGO-MAIZ DE SEGUNDA,P106 CLHO,SD,2022-11-01T00:00:00Z,0.52,SD,0,100,45,0,0,0,0,0,CON_FUNGICIDA,1,39000,3686,8.7,0,SD,53.8,SD,0.6,alta,8,media,1,SD,SD,SD,0,50,48,109,15,158,25,85,0,3781.25617977528,4673.63263820225
Ernesto Jauregui,RIVERA,SD,IV,s/ presencia de tosca,"SI, LLEGO A SER SUPERFICIAL",TRIGO-MAIZ DE SEGUNDA,P106 CLHO,SD,2022-11-01T00:00:00Z,0.52,SD,0,100,45,0,0,0,0,0,SIN_FUNGICIDA,2,38000,3606,8.1,0,SD,53.6,SD,0.5,alta,16,media,1,SD,SD,SD,0,50,48,109,15,158,25,85,0,3723.49887640449,4587.35061573034
Ernesto Jauregui,RIVERA,SD,IV,s/ presencia de tosca,"SI, LLEGO A SER SUPERFICIAL",TRIGO-MAIZ DE SEGUNDA,P106 CLHO,SD,2022-11-01T00:00:00Z,0.52,SD,0,100,45,0,0,0,0,0,CON_FUNGICIDA,2,37000,3766,8.9,0,SD,53.6,SD,0.6,alta,2,media,1,SD,SD,SD,0,50,48,109,15,158,25,85,0,3854.8606741573,4749.1883505618
Adrian Etcheto,TRES_ARROYOS_A_SAN_JOSE,Argiudol tipico,IVes,2,NO,Trigo/sj2,InSun 211 CL,50000,2022-10-31T00:00:00Z,0.7,SD,0,0,0,80,0,0,0,0,SIN_FUNGICIDA,1,52000,2320,7.7,0,2.8,49.6,0.5,0,0,0,0,0,0,0,0,15,9,36,85,19,86,68,166,60,2406.02247191011,2771.73788764045
Adrian Etcheto,TRES_ARROYOS_A_SAN_JOSE,Argiudol tipico,IVes,2,NO,Trigo/sj2,InSun 211 CL,50000,2022-10-31T00:00:00Z,0.7,SD,0,0,0,80,0,0,0,0,CON_FUNGICIDA,1,52000,2280,8.6,0,2.4,48.7,0.6,0,0,0,0,0,0,0,0,15,9,36,85,19,86,68,166,60,2341.48314606742,2655.24188764045
Adrian Etcheto,TRES_ARROYOS_A_SAN_JOSE,Argiudol tipico,IVes,2,NO,Trigo/sj2,InSun 211 CL,50000,2022-10-31T00:00:00Z,0.7,SD,0,0,0,80,0,0,0,0,SIN_FUNGICIDA,2,52000,2300,7.7,0,2.8,49.6,0.5,0,0,0,0,0,0,0,0,15,9,36,85,19,86,68,166,60,2385.2808988764,2747.84359550562
Adrian Etcheto,TRES_ARROYOS_A_SAN_JOSE,Argiudol tipico,IVes,2,NO,Trigo/sj2,InSun 211 CL,50000,2022-10-31T00:00:00Z,0.7,SD,0,0,0,80,0,0,0,0,CON_FUNGICIDA,2,52000,2300,8.6,0,2.4,48.7,0.6,0,0,0,0,0,0,0,0,15,9,36,85,19,86,68,166,60,2362.02247191011,2678.53348314607
